Shark.common.name,Provoked.unprovoked,Shark.label
white shark,unprovoked,white shark
tiger shark,unprovoked,tiger shark
bull shark,unprovoked,bull shark
bull shark,unprovoked,bull shark
white shark,unprovoked,white shark
bull shark,provoked,bull shark
white shark,provoked,white shark
white shark,unprovoked,white shark
whaler shark,unprovoked,whaler shark
whaler shark,unprovoked,whaler shark
bull shark,unprovoked,bull shark
white shark,provoked,white shark
bull shark,unprovoked,bull shark
bull shark,unprovoked,bull shark
bull shark,unprovoked,bull shark
bull shark,unprovoked,bull shark
white shark,provoked,white shark
white shark,unprovoked,white shark
bull shark,unprovoked,bull shark
tiger shark,unprovoked,tiger shark
whaler shark,unprovoked,whaler shark
wobbegong,provoked,wobbegong
bull shark,unprovoked,bull shark
bull shark,unprovoked,bull shark
tiger shark,unprovoked,tiger shark
bull shark,unprovoked,bull shark
white shark,unprovoked,white shark
wobbegong,unprovoked,wobbegong
white shark,unprovoked,white shark
white shark,unprovoked,white shark
wobbegong,unprovoked,wobbegong
white shark,unprovoked,white shark
bull shark,unprovoked,bull shark
bull shark,unprovoked,bull shark
tiger shark,provoked,tiger shark
white shark,unprovoked,white shark
tiger shark,unprovoked,tiger shark
white shark,unprovoked,white shark
tiger shark,unprovoked,tiger shark
bull shark,unprovoked,bull shark
broadnose sevengill shark,provoked,Other
bull shark,unprovoked,bull shark
whaler shark,provoked,whaler shark
white shark,unprovoked,white shark
bull shark,unprovoked,bull shark
bull shark,unprovoked,bull shark
wobbegong,provoked,wobbegong
tiger shark,unprovoked,tiger shark
tiger shark,provoked,tiger shark
white shark,provoked,white shark
bull shark,unprovoked,bull shark
bull shark,provoked,bull shark
white shark,unprovoked,white shark
tiger shark,provoked,tiger shark
white shark,unprovoked,white shark
whaler shark,provoked,whaler shark
bull shark,unprovoked,bull shark
white shark,unprovoked,white shark
white shark,unprovoked,white shark
white shark,unprovoked,white shark
bull shark,unprovoked,bull shark
tiger shark,provoked,tiger shark
whaler shark,unprovoked,whaler shark
bull shark,provoked,bull shark
wobbegong,unprovoked,wobbegong
bull shark,unprovoked,bull shark
white shark,unprovoked,white shark
tiger shark,unprovoked,tiger shark
bull shark,unprovoked,bull shark
bull shark,unprovoked,bull shark
bull shark,unprovoked,bull shark
bull shark,unprovoked,bull shark
tiger shark,unprovoked,tiger shark
tiger shark,provoked,tiger shark
bull shark,unprovoked,bull shark
bull shark,unprovoked,bull shark
tiger shark,provoked,tiger shark
white shark,unprovoked,white shark
wobbegong,unprovoked,wobbegong
tiger shark,provoked,tiger shark
tiger shark,provoked,tiger shark
bull shark,unprovoked,bull shark
bull shark,unprovoked,bull shark
bull shark,provoked,bull shark
white shark,unprovoked,white shark
bull shark,unprovoked,bull shark
white shark,unprovoked,white shark
bull shark,unprovoked,bull shark
bull shark,unprovoked,bull shark
whaler shark,unprovoked,whaler shark
bull shark,unprovoked,bull shark
tiger shark,provoked,tiger shark
bull shark,unprovoked,bull shark
white shark,unprovoked,white shark
broadnose sevengill shark,unprovoked,Other
wobbegong,provoked,wobbegong
wobbegong,provoked,wobbegong
tiger shark,provoked,tiger shark
bull shark,unprovoked,bull shark
whaler shark,unprovoked,whaler shark
bull shark,unprovoked,bull shark
wobbegong,provoked,wobbegong
tiger shark,unprovoked,tiger shark
tiger shark,unprovoked,tiger shark
white shark,unprovoked,white shark
bull shark,unprovoked,bull shark
bull shark,unprovoked,bull shark
bull shark,unprovoked,bull shark
tiger shark,provoked,tiger shark
whaler shark,provoked,whaler shark
tiger shark,provoked,tiger shark
bull shark,unprovoked,bull shark
bull shark,unprovoked,bull shark
white shark,unprovoked,white shark
bull shark,unprovoked,bull shark
tiger shark,unprovoked,tiger shark
bull shark,provoked,bull shark
whaler shark,provoked,whaler shark
bull shark,unprovoked,bull shark
bull shark,unprovoked,bull shark
bull shark,unprovoked,bull shark
tiger shark,unprovoked,tiger shark
tiger shark,unprovoked,tiger shark
bull shark,unprovoked,bull shark
tiger shark,unprovoked,tiger shark
bull shark,unprovoked,bull shark
wobbegong,provoked,wobbegong
tiger shark,provoked,tiger shark
tiger shark,provoked,tiger shark
bull shark,unprovoked,bull shark
bull shark,unprovoked,bull shark
whaler shark,provoked,whaler shark
bull shark,unprovoked,bull shark
bull shark,provoked,bull shark
bull shark,unprovoked,bull shark
whaler shark,provoked,whaler shark
bull shark,unprovoked,bull shark
bull shark,unprovoked,bull shark
tiger shark,provoked,tiger shark
bull shark,unprovoked,bull shark
tiger shark,unprovoked,tiger shark
tiger shark,provoked,tiger shark
wobbegong,unprovoked,wobbegong
bull shark,unprovoked,bull shark
tiger shark,provoked,tiger shark
white shark,unprovoked,white shark
bull shark,unprovoked,bull shark
bull shark,unprovoked,bull shark
bull shark,unprovoked,bull shark
white shark,unprovoked,white shark
tiger shark,unprovoked,tiger shark
tiger shark,unprovoked,tiger shark
tiger shark,provoked,tiger shark
dusky shark,unprovoked,Other
bull shark,unprovoked,bull shark
bull shark,unprovoked,bull shark
wobbegong,provoked,wobbegong
white shark,provoked,white shark
white shark,unprovoked,white shark
tiger shark,unprovoked,tiger shark
tiger shark,provoked,tiger shark
bull shark,provoked,bull shark
tiger shark,unprovoked,tiger shark
white shark,unprovoked,white shark
bull shark,unprovoked,bull shark
wobbegong,unprovoked,wobbegong
bull shark,unprovoked,bull shark
wobbegong,provoked,wobbegong
bull shark,provoked,bull shark
white shark,unprovoked,white shark
wobbegong,provoked,wobbegong
bull shark,unprovoked,bull shark
wobbegong,unprovoked,wobbegong
whaler shark,unprovoked,whaler shark
bull shark,unprovoked,bull shark
wobbegong,provoked,wobbegong
white shark,unprovoked,white shark
tiger shark,unprovoked,tiger shark
tiger shark,unprovoked,tiger shark
tiger shark,provoked,tiger shark
tiger shark,provoked,tiger shark
bull shark,unprovoked,bull shark
tiger shark,unprovoked,tiger shark
whaler shark,provoked,whaler shark
tiger shark,unprovoked,tiger shark
wobbegong,provoked,wobbegong
white shark,unprovoked,white shark
wobbegong,provoked,wobbegong
tiger shark,unprovoked,tiger shark
wobbegong,provoked,wobbegong
bull shark,unprovoked,bull shark
tiger shark,unprovoked,tiger shark
tiger shark,provoked,tiger shark
white shark,unprovoked,white shark
bull shark,unprovoked,bull shark
bull shark,unprovoked,bull shark
wobbegong,provoked,wobbegong
bull shark,unprovoked,bull shark
bull shark,unprovoked,bull shark
wobbegong,provoked,wobbegong
tiger shark,unprovoked,tiger shark
tiger shark,provoked,tiger shark
wobbegong,provoked,wobbegong
wobbegong,unprovoked,wobbegong
wobbegong,unprovoked,wobbegong
bull shark,unprovoked,bull shark
tiger shark,provoked,tiger shark
tiger shark,unprovoked,tiger shark
bull shark,unprovoked,bull shark
bull shark,unprovoked,bull shark
bull shark,unprovoked,bull shark
white shark,unprovoked,white shark
bull shark,unprovoked,bull shark
white shark,unprovoked,white shark
white shark,unprovoked,white shark
tiger shark,unprovoked,tiger shark
bull shark,unprovoked,bull shark
white shark,provoked,white shark
bull shark,unprovoked,bull shark
tiger shark,provoked,tiger shark
wobbegong,provoked,wobbegong
tiger shark,provoked,tiger shark
white shark,unprovoked,white shark
tiger shark,provoked,tiger shark
tiger shark,provoked,tiger shark
tiger shark,provoked,tiger shark
bull shark,unprovoked,bull shark
bull shark,unprovoked,bull shark
wobbegong,unprovoked,wobbegong
white shark,unprovoked,white shark
white shark,unprovoked,white shark
white shark,unprovoked,white shark
white shark,unprovoked,white shark
white shark,unprovoked,white shark
tiger shark,unprovoked,tiger shark
white shark,unprovoked,white shark
bull shark,unprovoked,bull shark
tiger shark,provoked,tiger shark
tiger shark,provoked,tiger shark
tiger shark,provoked,tiger shark
tiger shark,unprovoked,tiger shark
bull shark,unprovoked,bull shark
white shark,unprovoked,white shark
tiger shark,provoked,tiger shark
tiger shark,provoked,tiger shark
tiger shark,unprovoked,tiger shark
tiger shark,provoked,tiger shark
tiger shark,provoked,tiger shark
tiger shark,provoked,tiger shark
tiger shark,provoked,tiger shark
bull shark,unprovoked,bull shark
white shark,unprovoked,white shark
white shark,unprovoked,white shark
tiger shark,unprovoked,tiger shark
tiger shark,provoked,tiger shark
tiger shark,unprovoked,tiger shark
wobbegong,provoked,wobbegong
white shark,unprovoked,white shark
wobbegong,provoked,wobbegong
white shark,unprovoked,white shark
white shark,unprovoked,white shark
white shark,unprovoked,white shark
wobbegong,unprovoked,wobbegong
wobbegong,unprovoked,wobbegong
tiger shark,unprovoked,tiger shark
tiger shark,provoked,tiger shark
bull shark,provoked,bull shark
tiger shark,unprovoked,tiger shark
tiger shark,provoked,tiger shark
tiger shark,provoked,tiger shark
bull shark,unprovoked,bull shark
tiger shark,unprovoked,tiger shark
bull shark,unprovoked,bull shark
wobbegong,unprovoked,wobbegong
bull shark,unprovoked,bull shark
tiger shark,unprovoked,tiger shark
tiger shark,provoked,tiger shark
white shark,unprovoked,white shark
tiger shark,unprovoked,tiger shark
tiger shark,unprovoked,tiger shark
tiger shark,provoked,tiger shark
wobbegong,provoked,wobbegong
bull shark,unprovoked,bull shark
wobbegong,provoked,wobbegong
tiger shark,unprovoked,tiger shark
tiger shark,provoked,tiger shark
tiger shark,provoked,tiger shark
bull shark,provoked,bull shark
tiger shark,provoked,tiger shark
bull shark,unprovoked,bull shark
bull shark,provoked,bull shark
wobbegong,provoked,wobbegong
tiger shark,provoked,tiger shark
tiger shark,unprovoked,tiger shark
tiger shark,unprovoked,tiger shark
white shark,unprovoked,white shark
tiger shark,unprovoked,tiger shark
tiger shark,unprovoked,tiger shark
bull shark,provoked,bull shark
tiger shark,provoked,tiger shark
tiger shark,provoked,tiger shark
bull shark,unprovoked,bull shark
tiger shark,provoked,tiger shark
tiger shark,provoked,tiger shark
tiger shark,provoked,tiger shark
wobbegong,provoked,wobbegong
bull shark,unprovoked,bull shark
white shark,unprovoked,white shark
tiger shark,provoked,tiger shark
tiger shark,provoked,tiger shark
white shark,unprovoked,white shark
tiger shark,unprovoked,tiger shark
white shark,unprovoked,white shark
tiger shark,unprovoked,tiger shark
tiger shark,provoked,tiger shark
tiger shark,unprovoked,tiger shark
bull shark,unprovoked,bull shark
bull shark,unprovoked,bull shark
bull shark,unprovoked,bull shark
bull shark,unprovoked,bull shark
tiger shark,unprovoked,tiger shark
white shark,unprovoked,white shark
white shark,unprovoked,white shark
whaler shark,unprovoked,whaler shark
tiger shark,provoked,tiger shark
white shark,unprovoked,white shark
whaler shark,provoked,whaler shark
tiger shark,provoked,tiger shark
tiger shark,provoked,tiger shark
white shark,provoked,white shark
tiger shark,provoked,tiger shark
white shark,unprovoked,white shark
white shark,unprovoked,white shark
bull shark,unprovoked,bull shark
tiger shark,provoked,tiger shark
whaler shark,unprovoked,whaler shark
tiger shark,provoked,tiger shark
tiger shark,provoked,tiger shark
tiger shark,provoked,tiger shark
whaler shark,provoked,whaler shark
wobbegong,provoked,wobbegong
wobbegong,unprovoked,wobbegong
bull shark,unprovoked,bull shark
tiger shark,unprovoked,tiger shark
white shark,unprovoked,white shark
wobbegong,unprovoked,wobbegong
bull shark,unprovoked,bull shark
tiger shark,provoked,tiger shark
white shark,unprovoked,white shark
tiger shark,unprovoked,tiger shark
tiger shark,unprovoked,tiger shark
bull shark,unprovoked,bull shark
tiger shark,provoked,tiger shark
tiger shark,provoked,tiger shark
bull shark,provoked,bull shark
white shark,unprovoked,white shark
whaler shark,unprovoked,whaler shark
whaler shark,provoked,whaler shark
tiger shark,provoked,tiger shark
wobbegong,provoked,wobbegong
bull shark,provoked,bull shark
tiger shark,provoked,tiger shark
tiger shark,provoked,tiger shark
bull shark,unprovoked,bull shark
bull shark,unprovoked,bull shark
tiger shark,provoked,tiger shark
bull shark,unprovoked,bull shark
tiger shark,unprovoked,tiger shark
tiger shark,unprovoked,tiger shark
bull shark,unprovoked,bull shark
wobbegong,provoked,wobbegong
tiger shark,unprovoked,tiger shark
tiger shark,unprovoked,tiger shark
tiger shark,unprovoked,tiger shark
tiger shark,unprovoked,tiger shark
bull shark,unprovoked,bull shark
bull shark,unprovoked,bull shark
white shark,provoked,white shark
tiger shark,provoked,tiger shark
tiger shark,unprovoked,tiger shark
bull shark,unprovoked,bull shark
tiger shark,unprovoked,tiger shark
white shark,unprovoked,white shark
wobbegong,provoked,wobbegong
tiger shark,unprovoked,tiger shark
bull shark,unprovoked,bull shark
white shark,unprovoked,white shark
tiger shark,unprovoked,tiger shark
tiger shark,unprovoked,tiger shark
bull shark,unprovoked,bull shark
tiger shark,provoked,tiger shark
white shark,unprovoked,white shark
tiger shark,provoked,tiger shark
tiger shark,unprovoked,tiger shark
bull shark,unprovoked,bull shark
bull shark,unprovoked,bull shark
bull shark,provoked,bull shark
wobbegong,provoked,wobbegong
tiger shark,unprovoked,tiger shark
tiger shark,provoked,tiger shark
tiger shark,unprovoked,tiger shark
tiger shark,provoked,tiger shark
whaler shark,provoked,whaler shark
wobbegong,provoked,wobbegong
white shark,unprovoked,white shark
white shark,unprovoked,white shark
white shark,unprovoked,white shark
tiger shark,unprovoked,tiger shark
bull shark,unprovoked,bull shark
white shark,unprovoked,white shark
tiger shark,unprovoked,tiger shark
tiger shark,unprovoked,tiger shark
wobbegong,provoked,wobbegong
wobbegong,provoked,wobbegong
tiger shark,unprovoked,tiger shark
bull shark,unprovoked,bull shark
tiger shark,unprovoked,tiger shark
tiger shark,unprovoked,tiger shark
bull shark,provoked,bull shark
wobbegong,unprovoked,wobbegong
wobbegong,provoked,wobbegong
bull shark,unprovoked,bull shark
tiger shark,unprovoked,tiger shark
white shark,unprovoked,white shark
white shark,unprovoked,white shark
wobbegong,unprovoked,wobbegong
bull shark,provoked,bull shark
wobbegong,provoked,wobbegong
white shark,unprovoked,white shark
white shark,provoked,white shark
wobbegong,provoked,wobbegong
wobbegong,provoked,wobbegong
wobbegong,provoked,wobbegong
tiger shark,provoked,tiger shark
white shark,unprovoked,white shark
white shark,unprovoked,white shark
white shark,unprovoked,white shark
wobbegong,provoked,wobbegong
tiger shark,provoked,tiger shark
whaler shark,unprovoked,whaler shark
white shark,unprovoked,white shark
tiger shark,provoked,tiger shark
tiger shark,provoked,tiger shark
bull shark,provoked,bull shark
bull shark,unprovoked,bull shark
white shark,unprovoked,white shark
wobbegong,provoked,wobbegong
tiger shark,provoked,tiger shark
bull shark,unprovoked,bull shark
wobbegong,unprovoked,wobbegong
bronze whaler shark,provoked,Other
whaler shark,unprovoked,whaler shark
white shark,unprovoked,white shark
tiger shark,provoked,tiger shark
wobbegong,provoked,wobbegong
white shark,unprovoked,white shark
tiger shark,unprovoked,tiger shark
wobbegong,unprovoked,wobbegong
tiger shark,provoked,tiger shark
white shark,provoked,white shark
tiger shark,provoked,tiger shark
wobbegong,unprovoked,wobbegong
white shark,provoked,white shark
bull shark,provoked,bull shark
tiger shark,provoked,tiger shark
bronze whaler shark,provoked,Other
wobbegong,provoked,wobbegong
tiger shark,unprovoked,tiger shark
bull shark,provoked,bull shark
wobbegong,unprovoked,wobbegong
white shark,provoked,white shark
white shark,unprovoked,white shark
whaler shark,provoked,whaler shark
tiger shark,provoked,tiger shark
tiger shark,provoked,tiger shark
white shark,unprovoked,white shark
tiger shark,unprovoked,tiger shark
tiger shark,provoked,tiger shark
bronze whaler shark,provoked,Other
bull shark,unprovoked,bull shark
bronze whaler shark,provoked,Other
white shark,unprovoked,white shark
bronze whaler shark,provoked,Other
whaler shark,unprovoked,whaler shark
wobbegong,provoked,wobbegong
whaler shark,unprovoked,whaler shark
bull shark,unprovoked,bull shark
dogfish,provoked,Other
wobbegong,unprovoked,wobbegong
wobbegong,provoked,wobbegong
bronze whaler shark,provoked,Other
white shark,unprovoked,white shark
white shark,provoked,white shark
dusky shark,provoked,Other
bull shark,unprovoked,bull shark
tiger shark,unprovoked,tiger shark
tiger shark,unprovoked,tiger shark
tiger shark,unprovoked,tiger shark
white shark,unprovoked,white shark
white shark,unprovoked,white shark
wobbegong,provoked,wobbegong
whaler shark,provoked,whaler shark
white shark,provoked,white shark
bull shark,unprovoked,bull shark
bronze whaler shark,provoked,Other
white shark,unprovoked,white shark
white shark,provoked,white shark
whaler shark,provoked,whaler shark
wobbegong,provoked,wobbegong
white shark,unprovoked,white shark
white shark,provoked,white shark
wobbegong,provoked,wobbegong
tiger shark,unprovoked,tiger shark
wobbegong,provoked,wobbegong
white shark,unprovoked,white shark
white shark,unprovoked,white shark
shortfin mako shark,provoked,Other
wobbegong,provoked,wobbegong
bronze whaler shark,provoked,Other
white shark,provoked,white shark
wobbegong,provoked,wobbegong
bronze whaler shark,provoked,Other
white shark,provoked,white shark
bull shark,unprovoked,bull shark
bronze whaler shark,provoked,Other
white shark,provoked,white shark
bronze whaler shark,provoked,Other
wobbegong,provoked,wobbegong
bull shark,unprovoked,bull shark
school shark,unprovoked,Other
whaler shark,provoked,whaler shark
tiger shark,unprovoked,tiger shark
white shark,unprovoked,white shark
white shark,provoked,white shark
white shark,unprovoked,white shark
whaler shark,provoked,whaler shark
white shark,provoked,white shark
white shark,unprovoked,white shark
tiger shark,unprovoked,tiger shark
white shark,unprovoked,white shark
bull shark,unprovoked,bull shark
white shark,provoked,white shark
tiger shark,unprovoked,tiger shark
wobbegong,unprovoked,wobbegong
white shark,unprovoked,white shark
white shark,unprovoked,white shark
white shark,provoked,white shark
wobbegong,provoked,wobbegong
tiger shark,unprovoked,tiger shark
white shark,unprovoked,white shark
white shark,provoked,white shark
wobbegong,provoked,wobbegong
white shark,provoked,white shark
tiger shark,unprovoked,tiger shark
tiger shark,unprovoked,tiger shark
tiger shark,unprovoked,tiger shark
bull shark,unprovoked,bull shark
tiger shark,unprovoked,tiger shark
white shark,unprovoked,white shark
white shark,unprovoked,white shark
white shark,provoked,white shark
bull shark,unprovoked,bull shark
